id,year,state_name,state_code,district_name,district_code,crop_name,crop_code,crop_type,season,area,area_unit,production,production_unit,yield,yield_unit,old_district_name,actual_rainfall,rfs_rainfall,normal_rainfall,rainfall_deviation,agri_year,irrigation_food_category,irrigation_crop_type,irrigation_crop_name,irrigation_crop_code,irrigation_season,crop_irrigation_area,total_irrigated_area
450160,2022-2023,Telangana,36,Adilabad,501,Groundnut,1001.0,Oilseeds,Kharif,2.0,Hectare,5.0,Tonnes,2.5,Tonnes/Hectare,Adilabad,1907.2999999999984,1040.0245319448004,1103.5999999999992,68.3522533262958,2022-2023,Non Food Crop,Oilseeds,Groundnut,1001.0,Kharif,654.0,1040598.0
450655,2022-2023,Telangana,36,Kumuram Bheem Asifabad,699,Groundnut,1001.0,Oilseeds,Kharif,6.0,Hectare,14.0,Tonnes,2.333,Tonnes/Hectare,Adilabad,1907.2999999999984,1040.0245319448004,1103.5999999999992,68.3522533262958,2022-2023,Non Food Crop,Oilseeds,Groundnut,1001.0,Kharif,654.0,1040598.0
451147,2022-2023,Telangana,36,Nirmal,680,Groundnut,1001.0,Oilseeds,Kharif,1.0,Hectare,2.0,Tonnes,2.0,Tonnes/Hectare,Adilabad,1907.2999999999984,1040.0245319448004,1103.5999999999992,68.3522533262958,2022-2023,Non Food Crop,Oilseeds,Groundnut,1001.0,Kharif,654.0,1040598.0
284712,2014-2015,Telangana,36,Adilabad,501,Jowar,102.0,Cereals,Kharif,10338.0,Hectare,10276.0,Tonnes,0.994,Tonnes/Hectare,Adilabad,963.27,528.2017072547,1103.5999999999992,89.29453694613629,2014-2015,Food Crop,Cereals & Millets,Jowar,102.0,Kharif,0.0,271774.0
303199,2015-2016,Telangana,36,Adilabad,501,Jowar,102.0,Cereals,Kharif,9753.0,Hectare,11440.0,Tonnes,1.173,Tonnes/Hectare,Adilabad,942.7399999999996,516.9540423964002,1103.7999999999993,14.616012916726936,2015-2016,Food Crop,Cereals & Millets,Jowar,102.0,Kharif,0.0,282184.0
322116,2016-2017,Telangana,36,Adilabad,501,Jowar,102.0,Cereals,Kharif,5498.0,Hectare,5306.0,Tonnes,0.965,Tonnes/Hectare,Adilabad,1268.01,695.2351840497998,1103.5999999999992,-22.99744870822964,2016-2017,Food Crop,Cereals & Millets,Jowar,102.0,Kharif,10.0,824372.0
322493,2016-2017,Telangana,36,Kumuram Bheem Asifabad,699,Jowar,102.0,Cereals,Kharif,2119.0,Hectare,2045.0,Tonnes,0.965,Tonnes/Hectare,Adilabad,1268.01,695.2351840497998,1103.5999999999992,-22.99744870822964,2016-2017,Food Crop,Cereals & Millets,Jowar,102.0,Kharif,10.0,824372.0
322797,2016-2017,Telangana,36,Nirmal,680,Jowar,102.0,Cereals,Kharif,42.0,Hectare,41.0,Tonnes,0.976,Tonnes/Hectare,Adilabad,1268.01,695.2351840497998,1103.5999999999992,-22.99744870822964,2016-2017,Food Crop,Cereals & Millets,Jowar,102.0,Kharif,10.0,824372.0
342748,2017-2018,Telangana,36,Adilabad,501,Jowar,102.0,Cereals,Kharif,3005.0,Hectare,2227.0,Tonnes,0.741,Tonnes/Hectare,Adilabad,920.3600000000002,504.6567939128999,1103.5999999999992,19.96810455707852,2017-2018,Food Crop,Cereals & Millets,Jowar,102.0,Kharif,10.0,901526.0
343105,2017-2018,Telangana,36,Kumuram Bheem Asifabad,699,Jowar,102.0,Cereals,Kharif,1743.0,Hectare,2067.0,Tonnes,1.186,Tonnes/Hectare,Adilabad,920.3600000000002,504.6567939128999,1103.5999999999992,19.96810455707852,2017-2018,Food Crop,Cereals & Millets,Jowar,102.0,Kharif,10.0,901526.0
