id,year,state_name,state_code,district_name,district_code,food_category,crop_type,sub_crop_type,crop_name,crop_code,season,area,old_district_name
477805,2018-2019,Telangana,36,Mahabubabad,688.0,Food Crop,Cereals & Millets,Cereals & Millets,Maize,104.0,,5213.0,Warangal
477806,2018-2019,Telangana,36,Mahabubabad,688.0,Food Crop,Cereals & Millets,Cereals & Millets,Other Cereals and Millets,188.0,Kharif,,Warangal
477807,2018-2019,Telangana,36,Mahabubabad,688.0,Food Crop,Cereals & Millets,Cereals & Millets,Other Cereals and Millets,188.0,Rabi,,Warangal
477808,2018-2019,Telangana,36,Mahabubabad,688.0,Food Crop,Cereals & Millets,Cereals & Millets,Other Cereals and Millets,188.0,Summer,,Warangal
477809,2018-2019,Telangana,36,Mahabubabad,688.0,Food Crop,Cereals & Millets,Cereals & Millets,Ragi,105.0,,,Warangal
477810,2018-2019,Telangana,36,Mahabubabad,688.0,Food Crop,Cereals & Millets,Cereals & Millets,Rice,101.0,Autumn,39461.0,Warangal
477811,2018-2019,Telangana,36,Mahabubabad,688.0,Food Crop,Cereals & Millets,Cereals & Millets,Rice,101.0,Kharif,,Warangal
477812,2018-2019,Telangana,36,Mahabubabad,688.0,Food Crop,Cereals & Millets,Cereals & Millets,Rice,101.0,Summer,14264.0,Warangal
477813,2018-2019,Telangana,36,Mahabubabad,688.0,Food Crop,Cereals & Millets,Cereals & Millets,Rice,101.0,Winter,,Warangal
477814,2018-2019,Telangana,36,Mahabubabad,688.0,Food Crop,Cereals & Millets,Cereals & Millets,Wheat,106.0,,,Warangal
477815,2018-2019,Telangana,36,Mahabubabad,688.0,Food Crop,Other Food Crops,Other Food Crops,Other Food Crops,801.0,,,Warangal
477816,2018-2019,Telangana,36,Mahabubabad,688.0,Food Crop,Pulses,Pulses,Arhar(Tur),202.0,,,Warangal
477817,2018-2019,Telangana,36,Mahabubabad,688.0,Food Crop,Pulses,Pulses,Gram,201.0,,,Warangal
477818,2018-2019,Telangana,36,Mahabubabad,688.0,Food Crop,Pulses,Pulses,Other Pulses,288.0,Kharif,,Warangal
477819,2018-2019,Telangana,36,Mahabubabad,688.0,Food Crop,Pulses,Pulses,Other Pulses,288.0,Rabi,1078.0,Warangal
477820,2018-2019,Telangana,36,Mahabubabad,688.0,Food Crop,Pulses,Pulses,Other Pulses,288.0,Summer,,Warangal
477821,2018-2019,Telangana,36,Mahabubabad,688.0,Food Crop,Sugar,Sugar,Sugarcane,401.0,,26.0,Warangal
477822,2018-2019,Telangana,36,Mahabubabad,688.0,Non Food Crop,"Drugs, Narcotics and plantation Crop","Drugs, Narcotics and plantation Crop",Coffee,1502.0,,,Warangal
477823,2018-2019,Telangana,36,Mahabubabad,688.0,Non Food Crop,"Drugs, Narcotics and plantation Crop","Drugs, Narcotics and plantation Crop",Other Plantation Crops,1588.0,,,Warangal
477824,2018-2019,Telangana,36,Mahabubabad,688.0,Non Food Crop,"Drugs, Narcotics and plantation Crop","Drugs, Narcotics and plantation Crop",Tea,1501.0,,,Warangal
477825,2018-2019,Telangana,36,Mahabubabad,688.0,Non Food Crop,"Drugs, Narcotics and plantation Crop","Drugs, Narcotics and plantation Crop",Tobacco,1302.0,,155.0,Warangal
477826,2018-2019,Telangana,36,Mahabubabad,688.0,Non Food Crop,Fiber,Fiber,Cotton,1101.0,,21448.0,Warangal
477827,2018-2019,Telangana,36,Mahabubabad,688.0,Non Food Crop,Fiber,Fiber,Jute,1102.0,,,Warangal
477828,2018-2019,Telangana,36,Mahabubabad,688.0,Non Food Crop,Fiber,Fiber,Mesta,1103.0,,,Warangal
477829,2018-2019,Telangana,36,Mahabubabad,688.0,Non Food Crop,Fiber,Fiber,Other Fibres,1188.0,,,Warangal
477830,2018-2019,Telangana,36,Mahabubabad,688.0,Non Food Crop,Fiber,Fiber,Sanhemp,1104.0,,,Warangal
477831,2018-2019,Telangana,36,Mahabubabad,688.0,Non Food Crop,Fodder Crops,Fodder Crops,Fodder Crops,1488.0,,,Warangal
477832,2018-2019,Telangana,36,Mahabubabad,688.0,Non Food Crop,Oilseeds,Oilseeds,Groundnut,1001.0,,5588.0,Warangal
477833,2018-2019,Telangana,36,Mahabubabad,688.0,Non Food Crop,Oilseeds,Oilseeds,Linseed,1005.0,,,Warangal
477834,2018-2019,Telangana,36,Mahabubabad,688.0,Non Food Crop,Oilseeds,Oilseeds,Other Oilseeds,1088.0,,,Warangal
477835,2018-2019,Telangana,36,Mahabubabad,688.0,Non Food Crop,Oilseeds,Oilseeds,Rapeseed and Mustard,1004.0,,,Warangal
477836,2018-2019,Telangana,36,Mahabubabad,688.0,Non Food Crop,Oilseeds,Oilseeds,Sesamum,1003.0,,5.0,Warangal
477837,2018-2019,Telangana,36,Mahabubabad,688.0,Non Food Crop,Oilseeds,Oilseeds,Soyabean,1009.0,,,Warangal
477838,2018-2019,Telangana,36,Mahabubabad,688.0,Non Food Crop,Oilseeds,Oilseeds,Sunflower,1007.0,,2.0,Warangal
477839,2018-2019,Telangana,36,Mahabubabad,688.0,Non Food Crop,Other Non Food Crops,Other Non Food Crops,Other Non Food Crops,1888.0,,46.0,Warangal
477840,2018-2019,Telangana,36,Mahabubnagar,512.0,Food Crop,Cereals & Millets,Cereals & Millets,Bajra,103.0,,,Mahabubnagar
477841,2018-2019,Telangana,36,Mahabubnagar,512.0,Food Crop,Cereals & Millets,Cereals & Millets,Barley,107.0,,,Mahabubnagar
477842,2018-2019,Telangana,36,Mahabubnagar,512.0,Food Crop,Cereals & Millets,Cereals & Millets,Jowar,102.0,Kharif,,Mahabubnagar
477843,2018-2019,Telangana,36,Mahabubnagar,512.0,Food Crop,Cereals & Millets,Cereals & Millets,Jowar,102.0,Rabi,,Mahabubnagar
477844,2018-2019,Telangana,36,Mahabubnagar,512.0,Food Crop,Cereals & Millets,Cereals & Millets,Jowar,102.0,Summer,,Mahabubnagar
477845,2018-2019,Telangana,36,Mahabubnagar,512.0,Food Crop,Cereals & Millets,Cereals & Millets,Maize,104.0,,27.0,Mahabubnagar
477846,2018-2019,Telangana,36,Mahabubnagar,512.0,Food Crop,Cereals & Millets,Cereals & Millets,Other Cereals and Millets,188.0,Kharif,,Mahabubnagar
477847,2018-2019,Telangana,36,Mahabubnagar,512.0,Food Crop,Cereals & Millets,Cereals & Millets,Other Cereals and Millets,188.0,Rabi,,Mahabubnagar
477848,2018-2019,Telangana,36,Mahabubnagar,512.0,Food Crop,Cereals & Millets,Cereals & Millets,Other Cereals and Millets,188.0,Summer,,Mahabubnagar
477849,2018-2019,Telangana,36,Mahabubnagar,512.0,Food Crop,Cereals & Millets,Cereals & Millets,Ragi,105.0,,84.0,Mahabubnagar
