id,year,state_name,state_code,district_name,district_code,crop_name,crop_code,crop_type,season,area,area_unit,production,production_unit,yield,yield_unit,old_district_name
284827,2014-2015,Telangana,36,Khammam,509,Rice,101.0,Cereals,Rabi,35269.0,Hectare,127744.0,Tonnes,3.622,Tonnes/Hectare,Khammam
284828,2014-2015,Telangana,36,Khammam,509,Rice,101.0,Cereals,Total,145708.0,Hectare,456179.0,Tonnes,3.131,Tonnes/Hectare,Khammam
284829,2014-2015,Telangana,36,Khammam,509,Sesamum,1003.0,Oilseeds,Kharif,262.0,Hectare,80.0,Tonnes,0.305,Tonnes/Hectare,Khammam
284830,2014-2015,Telangana,36,Khammam,509,Sesamum,1003.0,Oilseeds,Rabi,864.0,Hectare,79.0,Tonnes,0.091,Tonnes/Hectare,Khammam
284831,2014-2015,Telangana,36,Khammam,509,Sesamum,1003.0,Oilseeds,Total,1126.0,Hectare,159.0,Tonnes,0.141,Tonnes/Hectare,Khammam
284832,2014-2015,Telangana,36,Khammam,509,Sugarcane,401.0,Sugar,Kharif,5581.0,Hectare,464088.0,Tonnes,83.155,Tonnes/Hectare,Khammam
284833,2014-2015,Telangana,36,Khammam,509,Sunflower,1007.0,Oilseeds,Rabi,68.0,Hectare,97.0,Tonnes,1.426,Tonnes/Hectare,Khammam
284834,2014-2015,Telangana,36,Khammam,509,Sweet Potato,703.0,Vegetable,Rabi,16.0,Hectare,124.0,Tonnes,7.75,Tonnes/Hectare,Khammam
284835,2014-2015,Telangana,36,Khammam,509,Tobacco,1302.0,Drugs And Narcotics,Rabi,2256.0,Hectare,6035.0,Tonnes,2.675,Tonnes/Hectare,Khammam
284836,2014-2015,Telangana,36,Khammam,509,Turmeric,504.0,Spices,Kharif,172.0,Hectare,856.0,Tonnes,4.977,Tonnes/Hectare,Khammam
284837,2014-2015,Telangana,36,Khammam,509,Urad,203.0,Pulses,Kharif,16.0,Hectare,10.0,Tonnes,0.625,Tonnes/Hectare,Khammam
284838,2014-2015,Telangana,36,Khammam,509,Urad,203.0,Pulses,Rabi,2025.0,Hectare,822.0,Tonnes,0.406,Tonnes/Hectare,Khammam
284839,2014-2015,Telangana,36,Khammam,509,Urad,203.0,Pulses,Total,2041.0,Hectare,832.0,Tonnes,0.408,Tonnes/Hectare,Khammam
284840,2014-2015,Telangana,36,Mahabubnagar,512,Arhar/Tur,202.0,Pulses,Kharif,100635.0,Hectare,45286.0,Tonnes,0.45,Tonnes/Hectare,Mahabubnagar
284841,2014-2015,Telangana,36,Mahabubnagar,512,Bajra,103.0,Cereals,Kharif,1582.0,Hectare,1504.0,Tonnes,0.951,Tonnes/Hectare,Mahabubnagar
284842,2014-2015,Telangana,36,Mahabubnagar,512,Castor Seed,1002.0,Oilseeds,Kharif,47574.0,Hectare,27878.0,Tonnes,0.586,Tonnes/Hectare,Mahabubnagar
284843,2014-2015,Telangana,36,Mahabubnagar,512,Castor Seed,1002.0,Oilseeds,Rabi,422.0,Hectare,247.0,Tonnes,0.585,Tonnes/Hectare,Mahabubnagar
284844,2014-2015,Telangana,36,Mahabubnagar,512,Castor Seed,1002.0,Oilseeds,Total,47996.0,Hectare,28125.0,Tonnes,0.586,Tonnes/Hectare,Mahabubnagar
284845,2014-2015,Telangana,36,Mahabubnagar,512,Cotton(Lint),1101.0,Fiber Crops,Kharif,237683.0,Hectare,464509.0,Tonnes,1.954,Tonnes/Hectare,Mahabubnagar
