id,year,state_name,state_code,district_name,district_code,irrigated_area_type,area_classification,area_sub_classification,irrigated_area,old_district_name,year_start,previous_year_area,historical_avg_area,area_change,area_change_pct
135941,2017-2018,Telangana,36,Siddipet,692.0,Gross Irrigated Area,Well,Tubewell,39510.0,Medak,2017,41529.0,51300.5,-2019.0,-4.861662934335043
135947,2017-2018,Telangana,36,Siddipet,692.0,Net Irrigated Area,Well,Tubewell,36744.0,Medak,2017,39510.0,47370.333333333336,-2766.0,-7.000759301442673
143501,2018-2019,Telangana,36,Siddipet,692.0,Gross Irrigated Area,Well,Tubewell,44085.0,Medak,2018,36744.0,44713.75,7341.0,19.978772044415415
143507,2018-2019,Telangana,36,Siddipet,692.0,Net Irrigated Area,Well,Tubewell,19232.0,Medak,2018,44085.0,44588.0,-24853.0,-56.37518430305093
151157,2019-2020,Telangana,36,Siddipet,692.0,Gross Irrigated Area,Well,Tubewell,44919.0,Medak,2019,19232.0,40362.0,25687.0,133.56385191347752
151163,2019-2020,Telangana,36,Siddipet,692.0,Net Irrigated Area,Well,Tubewell,27833.0,Medak,2019,44919.0,41013.0,-17086.0,-38.03735612992275
158921,2020-2021,Telangana,36,Siddipet,692.0,Gross Irrigated Area,Well,Tubewell,88666.0,Medak,2020,27833.0,39365.5,60833.0,218.56429418316387
158927,2020-2021,Telangana,36,Siddipet,692.0,Net Irrigated Area,Well,Tubewell,69348.0,Medak,2020,88666.0,44843.333333333336,-19318.0,-21.787381860013983
164513,2021-2022,Telangana,36,Siddipet,692.0,Gross Irrigated Area,Well,Tubewell,131046.0,Medak,2021,69348.0,47293.8,61698.0,88.96867970237065
164519,2021-2022,Telangana,36,Siddipet,692.0,Net Irrigated Area,Well,Tubewell,70801.0,Medak,2021,131046.0,54907.63636363636,-60245.0,-45.9724066358378
171077,2022-2023,Telangana,36,Siddipet,692.0,Gross Irrigated Area,Well,Tubewell,233595.0,Medak,2022,70801.0,56232.083333333336,162794.0,229.93178062456744
171083,2022-2023,Telangana,36,Siddipet,692.0,Net Irrigated Area,Well,Tubewell,124124.0,Medak,2022,233595.0,69875.38461538461,-109471.0,-46.86358868982641
128448,2016-2017,Telangana,36,Suryapet,696.0,Gross Irrigated Area,Canal,Government,160630.0,Nalgonda,2016,,,,
128454,2016-2017,Telangana,36,Suryapet,696.0,Net Irrigated Area,Canal,Government,105245.0,Nalgonda,2016,160630.0,160630.0,-55385.0,-34.47986054908797
135948,2017-2018,Telangana,36,Suryapet,696.0,Gross Irrigated Area,Canal,Government,184073.0,Nalgonda,2017,105245.0,132937.5,78828.0,74.89952016722884
135954,2017-2018,Telangana,36,Suryapet,696.0,Net Irrigated Area,Canal,Government,95872.0,Nalgonda,2017,184073.0,149982.66666666666,-88201.0,-47.91631580948862
143508,2018-2019,Telangana,36,Suryapet,696.0,Gross Irrigated Area,Canal,Government,195699.0,Nalgonda,2018,95872.0,136455.0,99827.0,104.12529205607477
