id,year,state_name,state_code,district_name,district_code,irrigated_area_type,area_classification,area_sub_classification,irrigated_area,old_district_name
128255,2016-2017,Telangana,36,Karimnagar,508.0,Net Irrigated Area,Well,Tubewell,713.0,Karimnagar
128256,2016-2017,Telangana,36,Khammam,509.0,Gross Irrigated Area,Canal,Government,122032.0,Khammam
128257,2016-2017,Telangana,36,Khammam,509.0,Gross Irrigated Area,Canal,Private,,Khammam
128258,2016-2017,Telangana,36,Khammam,509.0,Gross Irrigated Area,Other Source,Other Source,781.0,Khammam
128259,2016-2017,Telangana,36,Khammam,509.0,Gross Irrigated Area,Tank,Tank,16567.0,Khammam
128260,2016-2017,Telangana,36,Khammam,509.0,Gross Irrigated Area,Well,Other Well,3692.0,Khammam
128261,2016-2017,Telangana,36,Khammam,509.0,Gross Irrigated Area,Well,Tubewell,6857.0,Khammam
128262,2016-2017,Telangana,36,Khammam,509.0,Net Irrigated Area,Canal,Government,89046.0,Khammam
128263,2016-2017,Telangana,36,Khammam,509.0,Net Irrigated Area,Canal,Private,,Khammam
128264,2016-2017,Telangana,36,Khammam,509.0,Net Irrigated Area,Other Source,Other Source,601.0,Khammam
128265,2016-2017,Telangana,36,Khammam,509.0,Net Irrigated Area,Tank,Tank,13254.0,Khammam
128266,2016-2017,Telangana,36,Khammam,509.0,Net Irrigated Area,Well,Other Well,3249.0,Khammam
128267,2016-2017,Telangana,36,Khammam,509.0,Net Irrigated Area,Well,Tubewell,5897.0,Khammam
128268,2016-2017,Telangana,36,Kumuram Bheem Asifabad,699.0,Gross Irrigated Area,Canal,Government,41175.0,Adilabad
128269,2016-2017,Telangana,36,Kumuram Bheem Asifabad,699.0,Gross Irrigated Area,Canal,Private,,Adilabad
128270,2016-2017,Telangana,36,Kumuram Bheem Asifabad,699.0,Gross Irrigated Area,Other Source,Other Source,3433.0,Adilabad
128271,2016-2017,Telangana,36,Kumuram Bheem Asifabad,699.0,Gross Irrigated Area,Tank,Tank,7112.0,Adilabad
