id,year,state_name,state_code,district_name,district_code,crop_name,crop_code,crop_type,season,area,area_unit,production,production_unit,yield,yield_unit,old_district_name,year_start,previous_year_yield,historical_avg_yield,previous_year_production,previous_year_area
385946,2019-2020,Telangana,36,Mancherial,684,Arhar/Tur,202.0,Pulses,Rabi,102.0,Hectare,70.0,Tonnes,0.686,Tonnes/Hectare,Adilabad,2019,0.795,0.9224,97.0,122.0
406868,2020-2021,Telangana,36,Adilabad,501,Arhar/Tur,202.0,Pulses,Rabi,40.0,Hectare,36.0,Tonnes,0.9,Tonnes/Hectare,Adilabad,2020,0.686,0.9009090909090909,70.0,102.0
407353,2020-2021,Telangana,36,Kumuram Bheem Asifabad,699,Arhar/Tur,202.0,Pulses,Rabi,6.0,Hectare,6.0,Tonnes,1.0,Tonnes/Hectare,Adilabad,2020,0.9,0.9008333333333334,36.0,40.0
407494,2020-2021,Telangana,36,Mancherial,684,Arhar/Tur,202.0,Pulses,Rabi,54.0,Hectare,53.0,Tonnes,0.981,Tonnes/Hectare,Adilabad,2020,1.0,0.9084615384615385,6.0,6.0
428123,2021-2022,Telangana,36,Adilabad,501,Arhar/Tur,202.0,Pulses,Rabi,156.0,Hectare,116.0,Tonnes,0.744,Tonnes/Hectare,Adilabad,2021,0.981,0.9136428571428572,53.0,54.0
428687,2021-2022,Telangana,36,Kumuram Bheem Asifabad,699,Arhar/Tur,202.0,Pulses,Rabi,108.0,Hectare,80.0,Tonnes,0.741,Tonnes/Hectare,Adilabad,2021,0.744,0.9023333333333333,116.0,156.0
428851,2021-2022,Telangana,36,Mancherial,684,Arhar/Tur,202.0,Pulses,Rabi,101.0,Hectare,75.0,Tonnes,0.743,Tonnes/Hectare,Adilabad,2021,0.741,0.89225,80.0,108.0
429240,2021-2022,Telangana,36,Nirmal,680,Arhar/Tur,202.0,Pulses,Rabi,6.0,Hectare,4.0,Tonnes,0.667,Tonnes/Hectare,Adilabad,2021,0.743,0.8834705882352941,75.0,101.0
450138,2022-2023,Telangana,36,Adilabad,501,Arhar/Tur,202.0,Pulses,Rabi,105.0,Hectare,186.0,Tonnes,1.771,Tonnes/Hectare,Adilabad,2022,0.667,0.8714444444444445,4.0,6.0
450639,2022-2023,Telangana,36,Kumuram Bheem Asifabad,699,Arhar/Tur,202.0,Pulses,Rabi,152.0,Hectare,180.0,Tonnes,1.184,Tonnes/Hectare,Adilabad,2022,1.771,0.9187894736842106,186.0,105.0
450798,2022-2023,Telangana,36,Mancherial,684,Arhar/Tur,202.0,Pulses,Rabi,91.0,Hectare,108.0,Tonnes,1.187,Tonnes/Hectare,Adilabad,2022,1.184,0.9320499999999999,180.0,152.0
451128,2022-2023,Telangana,36,Nirmal,680,Arhar/Tur,202.0,Pulses,Rabi,3.0,Hectare,4.0,Tonnes,1.333,Tonnes/Hectare,Adilabad,2022,1.187,0.9441904761904761,108.0,91.0
385413,2019-2020,Telangana,36,Adilabad,501,Bajra,103.0,Cereals,All Seasons,29.0,Hectare,35.0,Tonnes,1.207,Tonnes/Hectare,Adilabad,2019,,,,
385411,2019-2020,Telangana,36,Adilabad,501,Bajra,103.0,Cereals,Kharif,28.0,Hectare,34.0,Tonnes,1.214,Tonnes/Hectare,Adilabad,2019,,,,
385812,2019-2020,Telangana,36,Kumuram Bheem Asifabad,699,Bajra,103.0,Cereals,Kharif,1.0,Hectare,1.0,Tonnes,1.0,Tonnes/Hectare,Adilabad,2019,1.214,1.214,34.0,28.0
407355,2020-2021,Telangana,36,Kumuram Bheem Asifabad,699,Bajra,103.0,Cereals,Kharif,1.0,Hectare,2.0,Tonnes,2.0,Tonnes/Hectare,Adilabad,2020,1.0,1.107,1.0,1.0
450641,2022-2023,Telangana,36,Kumuram Bheem Asifabad,699,Bajra,103.0,Cereals,Kharif,183.0,Hectare,155.0,Tonnes,0.847,Tonnes/Hectare,Adilabad,2022,2.0,1.4046666666666667,2.0,1.0
284694,2014-2015,Telangana,36,Adilabad,501,Bajra,103.0,Cereals,Rabi,1582.0,Hectare,1482.0,Tonnes,0.937,Tonnes/Hectare,Adilabad,2014,,,,
303184,2015-2016,Telangana,36,Adilabad,501,Bajra,103.0,Cereals,Rabi,1644.0,Hectare,1542.0,Tonnes,0.938,Tonnes/Hectare,Adilabad,2015,0.937,0.937,1482.0,1582.0
343380,2017-2018,Telangana,36,Nirmal,680,Bajra,103.0,Cereals,Rabi,1139.0,Hectare,1204.0,Tonnes,1.057,Tonnes/Hectare,Adilabad,2017,0.938,0.9375,1542.0,1644.0
364122,2018-2019,Telangana,36,Nirmal,680,Bajra,103.0,Cereals,Rabi,764.0,Hectare,380.0,Tonnes,0.497,Tonnes/Hectare,Adilabad,2018,1.057,0.9773333333333333,1204.0,1139.0
385412,2019-2020,Telangana,36,Adilabad,501,Bajra,103.0,Cereals,Rabi,1.0,Hectare,1.0,Tonnes,1.0,Tonnes/Hectare,Adilabad,2019,0.497,0.85725,380.0,764.0
