id,year,state_name,state_code,district_name,district_code,irrigated_area_type,area_classification,area_sub_classification,irrigated_area,old_district_name
12059,1999-2000,Telangana,36,Karimnagar,508.0,Net Irrigated Area,Well,Tubewell,5142.0,Karimnagar
12060,1999-2000,Telangana,36,Khammam,509.0,Gross Irrigated Area,Canal,Government,69340.0,Khammam
12061,1999-2000,Telangana,36,Khammam,509.0,Gross Irrigated Area,Canal,Private,,Khammam
12062,1999-2000,Telangana,36,Khammam,509.0,Gross Irrigated Area,Other Source,Other Source,27887.0,Khammam
12063,1999-2000,Telangana,36,Khammam,509.0,Gross Irrigated Area,Tank,Tank,55473.0,Khammam
12064,1999-2000,Telangana,36,Khammam,509.0,Gross Irrigated Area,Well,Other Well,37563.0,Khammam
12065,1999-2000,Telangana,36,Khammam,509.0,Gross Irrigated Area,Well,Tubewell,20071.0,Khammam
12066,1999-2000,Telangana,36,Khammam,509.0,Net Irrigated Area,Canal,Government,65100.0,Khammam
12067,1999-2000,Telangana,36,Khammam,509.0,Net Irrigated Area,Canal,Private,,Khammam
12068,1999-2000,Telangana,36,Khammam,509.0,Net Irrigated Area,Other Source,Other Source,26257.0,Khammam
12069,1999-2000,Telangana,36,Khammam,509.0,Net Irrigated Area,Tank,Tank,52422.0,Khammam
12070,1999-2000,Telangana,36,Khammam,509.0,Net Irrigated Area,Well,Other Well,34898.0,Khammam
12071,1999-2000,Telangana,36,Khammam,509.0,Net Irrigated Area,Well,Tubewell,17415.0,Khammam
12072,1999-2000,Telangana,36,Mahabubnagar,512.0,Gross Irrigated Area,Canal,Government,18166.0,Mahabubnagar
12073,1999-2000,Telangana,36,Mahabubnagar,512.0,Gross Irrigated Area,Canal,Private,,Mahabubnagar
12074,1999-2000,Telangana,36,Mahabubnagar,512.0,Gross Irrigated Area,Other Source,Other Source,7674.0,Mahabubnagar
12075,1999-2000,Telangana,36,Mahabubnagar,512.0,Gross Irrigated Area,Tank,Tank,3549.0,Mahabubnagar
12076,1999-2000,Telangana,36,Mahabubnagar,512.0,Gross Irrigated Area,Well,Other Well,48763.0,Mahabubnagar
12077,1999-2000,Telangana,36,Mahabubnagar,512.0,Gross Irrigated Area,Well,Tubewell,122450.0,Mahabubnagar
12078,1999-2000,Telangana,36,Mahabubnagar,512.0,Net Irrigated Area,Canal,Government,14584.0,Mahabubnagar
12079,1999-2000,Telangana,36,Mahabubnagar,512.0,Net Irrigated Area,Canal,Private,,Mahabubnagar
12080,1999-2000,Telangana,36,Mahabubnagar,512.0,Net Irrigated Area,Other Source,Other Source,5269.0,Mahabubnagar
12081,1999-2000,Telangana,36,Mahabubnagar,512.0,Net Irrigated Area,Tank,Tank,3359.0,Mahabubnagar
12082,1999-2000,Telangana,36,Mahabubnagar,512.0,Net Irrigated Area,Well,Other Well,38510.0,Mahabubnagar
12083,1999-2000,Telangana,36,Mahabubnagar,512.0,Net Irrigated Area,Well,Tubewell,95464.0,Mahabubnagar
12084,1999-2000,Telangana,36,Medak,513.0,Gross Irrigated Area,Canal,Government,3186.0,Medak
12085,1999-2000,Telangana,36,Medak,513.0,Gross Irrigated Area,Canal,Private,,Medak
12086,1999-2000,Telangana,36,Medak,513.0,Gross Irrigated Area,Other Source,Other Source,1176.0,Medak
12087,1999-2000,Telangana,36,Medak,513.0,Gross Irrigated Area,Tank,Tank,15006.0,Medak
12088,1999-2000,Telangana,36,Medak,513.0,Gross Irrigated Area,Well,Other Well,32387.0,Medak
12089,1999-2000,Telangana,36,Medak,513.0,Gross Irrigated Area,Well,Tubewell,138145.0,Medak
12090,1999-2000,Telangana,36,Medak,513.0,Net Irrigated Area,Canal,Government,3186.0,Medak
12091,1999-2000,Telangana,36,Medak,513.0,Net Irrigated Area,Canal,Private,,Medak
12092,1999-2000,Telangana,36,Medak,513.0,Net Irrigated Area,Other Source,Other Source,1176.0,Medak
12093,1999-2000,Telangana,36,Medak,513.0,Net Irrigated Area,Tank,Tank,14600.0,Medak
12094,1999-2000,Telangana,36,Medak,513.0,Net Irrigated Area,Well,Other Well,25322.0,Medak
12095,1999-2000,Telangana,36,Medak,513.0,Net Irrigated Area,Well,Tubewell,94851.0,Medak
12096,1999-2000,Telangana,36,Nalgonda,514.0,Gross Irrigated Area,Canal,Government,91985.0,Nalgonda
12097,1999-2000,Telangana,36,Nalgonda,514.0,Gross Irrigated Area,Canal,Private,,Nalgonda
12098,1999-2000,Telangana,36,Nalgonda,514.0,Gross Irrigated Area,Other Source,Other Source,20706.0,Nalgonda
12099,1999-2000,Telangana,36,Nalgonda,514.0,Gross Irrigated Area,Tank,Tank,16541.0,Nalgonda
12100,1999-2000,Telangana,36,Nalgonda,514.0,Gross Irrigated Area,Well,Other Well,99729.0,Nalgonda
12101,1999-2000,Telangana,36,Nalgonda,514.0,Gross Irrigated Area,Well,Tubewell,54544.0,Nalgonda
12102,1999-2000,Telangana,36,Nalgonda,514.0,Net Irrigated Area,Canal,Government,79189.0,Nalgonda
12103,1999-2000,Telangana,36,Nalgonda,514.0,Net Irrigated Area,Canal,Private,,Nalgonda
12104,1999-2000,Telangana,36,Nalgonda,514.0,Net Irrigated Area,Other Source,Other Source,16241.0,Nalgonda
12105,1999-2000,Telangana,36,Nalgonda,514.0,Net Irrigated Area,Tank,Tank,10330.0,Nalgonda
12106,1999-2000,Telangana,36,Nalgonda,514.0,Net Irrigated Area,Well,Other Well,71374.0,Nalgonda
12107,1999-2000,Telangana,36,Nalgonda,514.0,Net Irrigated Area,Well,Tubewell,34553.0,Nalgonda
12108,1999-2000,Telangana,36,Nizamabad,516.0,Gross Irrigated Area,Canal,Government,44812.0,Nizamabad
12109,1999-2000,Telangana,36,Nizamabad,516.0,Gross Irrigated Area,Canal,Private,,Nizamabad
12110,1999-2000,Telangana,36,Nizamabad,516.0,Gross Irrigated Area,Other Source,Other Source,5256.0,Nizamabad
12111,1999-2000,Telangana,36,Nizamabad,516.0,Gross Irrigated Area,Tank,Tank,29853.0,Nizamabad
12112,1999-2000,Telangana,36,Nizamabad,516.0,Gross Irrigated Area,Well,Other Well,16158.0,Nizamabad
12113,1999-2000,Telangana,36,Nizamabad,516.0,Gross Irrigated Area,Well,Tubewell,189670.0,Nizamabad
12114,1999-2000,Telangana,36,Nizamabad,516.0,Net Irrigated Area,Canal,Government,24746.0,Nizamabad
12115,1999-2000,Telangana,36,Nizamabad,516.0,Net Irrigated Area,Canal,Private,,Nizamabad
12116,1999-2000,Telangana,36,Nizamabad,516.0,Net Irrigated Area,Other Source,Other Source,3646.0,Nizamabad
12117,1999-2000,Telangana,36,Nizamabad,516.0,Net Irrigated Area,Tank,Tank,23938.0,Nizamabad
12118,1999-2000,Telangana,36,Nizamabad,516.0,Net Irrigated Area,Well,Other Well,9972.0,Nizamabad
12119,1999-2000,Telangana,36,Nizamabad,516.0,Net Irrigated Area,Well,Tubewell,107503.0,Nizamabad
12120,1999-2000,Telangana,36,Ranga Reddy,518.0,Gross Irrigated Area,Canal,Government,1528.0,Ranga Reddy
12121,1999-2000,Telangana,36,Ranga Reddy,518.0,Gross Irrigated Area,Canal,Private,,Ranga Reddy
12122,1999-2000,Telangana,36,Ranga Reddy,518.0,Gross Irrigated Area,Other Source,Other Source,2198.0,Ranga Reddy
12123,1999-2000,Telangana,36,Ranga Reddy,518.0,Gross Irrigated Area,Tank,Tank,2857.0,Ranga Reddy
12124,1999-2000,Telangana,36,Ranga Reddy,518.0,Gross Irrigated Area,Well,Other Well,36081.0,Ranga Reddy
12125,1999-2000,Telangana,36,Ranga Reddy,518.0,Gross Irrigated Area,Well,Tubewell,51880.0,Ranga Reddy
12126,1999-2000,Telangana,36,Ranga Reddy,518.0,Net Irrigated Area,Canal,Government,1062.0,Ranga Reddy
12127,1999-2000,Telangana,36,Ranga Reddy,518.0,Net Irrigated Area,Canal,Private,,Ranga Reddy
12128,1999-2000,Telangana,36,Ranga Reddy,518.0,Net Irrigated Area,Other Source,Other Source,1614.0,Ranga Reddy
12129,1999-2000,Telangana,36,Ranga Reddy,518.0,Net Irrigated Area,Tank,Tank,2356.0,Ranga Reddy
12130,1999-2000,Telangana,36,Ranga Reddy,518.0,Net Irrigated Area,Well,Other Well,32515.0,Ranga Reddy
