id,year,state_name,state_code,district_name,district_code,food_category,crop_type,sub_crop_type,crop_name,crop_code,season,area,old_district_name
17915,1998-1999,Telangana,36,Khammam,509.0,Non Food Crop,Oilseeds,Oilseeds,Rapeseed and Mustard,1004.0,,,Khammam
17916,1998-1999,Telangana,36,Khammam,509.0,Non Food Crop,Oilseeds,Oilseeds,Sesamum,1003.0,,,Khammam
17917,1998-1999,Telangana,36,Khammam,509.0,Non Food Crop,Oilseeds,Oilseeds,Soyabean,1009.0,,,Khammam
17918,1998-1999,Telangana,36,Khammam,509.0,Non Food Crop,Oilseeds,Oilseeds,Sunflower,1007.0,,,Khammam
17919,1998-1999,Telangana,36,Khammam,509.0,Non Food Crop,Other Non Food Crops,Other Non Food Crops,Other Non Food Crops,1888.0,,87.0,Khammam
17920,1998-1999,Telangana,36,Mahabubnagar,512.0,Food Crop,Cereals & Millets,Cereals & Millets,Bajra,103.0,,1.0,Mahabubnagar
17921,1998-1999,Telangana,36,Mahabubnagar,512.0,Food Crop,Cereals & Millets,Cereals & Millets,Barley,107.0,,,Mahabubnagar
17922,1998-1999,Telangana,36,Mahabubnagar,512.0,Food Crop,Cereals & Millets,Cereals & Millets,Jowar,102.0,Kharif,29.0,Mahabubnagar
17923,1998-1999,Telangana,36,Mahabubnagar,512.0,Food Crop,Cereals & Millets,Cereals & Millets,Jowar,102.0,Rabi,409.0,Mahabubnagar
17924,1998-1999,Telangana,36,Mahabubnagar,512.0,Food Crop,Cereals & Millets,Cereals & Millets,Jowar,102.0,Summer,,Mahabubnagar
17925,1998-1999,Telangana,36,Mahabubnagar,512.0,Food Crop,Cereals & Millets,Cereals & Millets,Maize,104.0,,512.0,Mahabubnagar
17926,1998-1999,Telangana,36,Mahabubnagar,512.0,Food Crop,Cereals & Millets,Cereals & Millets,Other Cereals and Millets,188.0,Kharif,,Mahabubnagar
17927,1998-1999,Telangana,36,Mahabubnagar,512.0,Food Crop,Cereals & Millets,Cereals & Millets,Other Cereals and Millets,188.0,Rabi,,Mahabubnagar
17928,1998-1999,Telangana,36,Mahabubnagar,512.0,Food Crop,Cereals & Millets,Cereals & Millets,Other Cereals and Millets,188.0,Summer,,Mahabubnagar
17929,1998-1999,Telangana,36,Mahabubnagar,512.0,Food Crop,Cereals & Millets,Cereals & Millets,Ragi,105.0,,480.0,Mahabubnagar
17930,1998-1999,Telangana,36,Mahabubnagar,512.0,Food Crop,Cereals & Millets,Cereals & Millets,Rice,101.0,Autumn,68348.0,Mahabubnagar
17931,1998-1999,Telangana,36,Mahabubnagar,512.0,Food Crop,Cereals & Millets,Cereals & Millets,Rice,101.0,Kharif,,Mahabubnagar
17932,1998-1999,Telangana,36,Mahabubnagar,512.0,Food Crop,Cereals & Millets,Cereals & Millets,Rice,101.0,Summer,74675.0,Mahabubnagar
17933,1998-1999,Telangana,36,Mahabubnagar,512.0,Food Crop,Cereals & Millets,Cereals & Millets,Rice,101.0,Winter,,Mahabubnagar
17934,1998-1999,Telangana,36,Mahabubnagar,512.0,Food Crop,Cereals & Millets,Cereals & Millets,Wheat,106.0,,172.0,Mahabubnagar
17935,1998-1999,Telangana,36,Mahabubnagar,512.0,Food Crop,Other Food Crops,Other Food Crops,Other Food Crops,801.0,,9255.0,Mahabubnagar
17936,1998-1999,Telangana,36,Mahabubnagar,512.0,Food Crop,Pulses,Pulses,Arhar(Tur),202.0,,13.0,Mahabubnagar
17937,1998-1999,Telangana,36,Mahabubnagar,512.0,Food Crop,Pulses,Pulses,Gram,201.0,,,Mahabubnagar
17938,1998-1999,Telangana,36,Mahabubnagar,512.0,Food Crop,Pulses,Pulses,Other Pulses,288.0,Kharif,,Mahabubnagar
17939,1998-1999,Telangana,36,Mahabubnagar,512.0,Food Crop,Pulses,Pulses,Other Pulses,288.0,Rabi,5.0,Mahabubnagar
17940,1998-1999,Telangana,36,Mahabubnagar,512.0,Food Crop,Pulses,Pulses,Other Pulses,288.0,Summer,,Mahabubnagar
17941,1998-1999,Telangana,36,Mahabubnagar,512.0,Food Crop,Sugar,Sugar,Sugarcane,401.0,,22.0,Mahabubnagar
17942,1998-1999,Telangana,36,Mahabubnagar,512.0,Non Food Crop,"Drugs, Narcotics and plantation Crop","Drugs, Narcotics and plantation Crop",Coffee,1502.0,,,Mahabubnagar
17943,1998-1999,Telangana,36,Mahabubnagar,512.0,Non Food Crop,"Drugs, Narcotics and plantation Crop","Drugs, Narcotics and plantation Crop",Other Plantation Crops,1588.0,,,Mahabubnagar
17944,1998-1999,Telangana,36,Mahabubnagar,512.0,Non Food Crop,"Drugs, Narcotics and plantation Crop","Drugs, Narcotics and plantation Crop",Tea,1501.0,,,Mahabubnagar
17945,1998-1999,Telangana,36,Mahabubnagar,512.0,Non Food Crop,"Drugs, Narcotics and plantation Crop","Drugs, Narcotics and plantation Crop",Tobacco,1302.0,,183.0,Mahabubnagar
17946,1998-1999,Telangana,36,Mahabubnagar,512.0,Non Food Crop,Fiber,Fiber,Cotton,1101.0,,12690.0,Mahabubnagar
17947,1998-1999,Telangana,36,Mahabubnagar,512.0,Non Food Crop,Fiber,Fiber,Jute,1102.0,,,Mahabubnagar
17948,1998-1999,Telangana,36,Mahabubnagar,512.0,Non Food Crop,Fiber,Fiber,Mesta,1103.0,,,Mahabubnagar
17949,1998-1999,Telangana,36,Mahabubnagar,512.0,Non Food Crop,Fiber,Fiber,Other Fibres,1188.0,,,Mahabubnagar
17950,1998-1999,Telangana,36,Mahabubnagar,512.0,Non Food Crop,Fiber,Fiber,Sanhemp,1104.0,,,Mahabubnagar
17951,1998-1999,Telangana,36,Mahabubnagar,512.0,Non Food Crop,Fodder Crops,Fodder Crops,Fodder Crops,1488.0,,448.0,Mahabubnagar
17952,1998-1999,Telangana,36,Mahabubnagar,512.0,Non Food Crop,Oilseeds,Oilseeds,Groundnut,1001.0,,47804.0,Mahabubnagar
17953,1998-1999,Telangana,36,Mahabubnagar,512.0,Non Food Crop,Oilseeds,Oilseeds,Linseed,1005.0,,,Mahabubnagar
17954,1998-1999,Telangana,36,Mahabubnagar,512.0,Non Food Crop,Oilseeds,Oilseeds,Other Oilseeds,1088.0,,4047.0,Mahabubnagar
17955,1998-1999,Telangana,36,Mahabubnagar,512.0,Non Food Crop,Oilseeds,Oilseeds,Rapeseed and Mustard,1004.0,,,Mahabubnagar
17956,1998-1999,Telangana,36,Mahabubnagar,512.0,Non Food Crop,Oilseeds,Oilseeds,Sesamum,1003.0,,,Mahabubnagar
17957,1998-1999,Telangana,36,Mahabubnagar,512.0,Non Food Crop,Oilseeds,Oilseeds,Soyabean,1009.0,,,Mahabubnagar
17958,1998-1999,Telangana,36,Mahabubnagar,512.0,Non Food Crop,Oilseeds,Oilseeds,Sunflower,1007.0,,,Mahabubnagar
17959,1998-1999,Telangana,36,Mahabubnagar,512.0,Non Food Crop,Other Non Food Crops,Other Non Food Crops,Other Non Food Crops,1888.0,,127.0,Mahabubnagar
17960,1998-1999,Telangana,36,Medak,513.0,Food Crop,Cereals & Millets,Cereals & Millets,Bajra,103.0,,,Medak
17961,1998-1999,Telangana,36,Medak,513.0,Food Crop,Cereals & Millets,Cereals & Millets,Barley,107.0,,,Medak
17962,1998-1999,Telangana,36,Medak,513.0,Food Crop,Cereals & Millets,Cereals & Millets,Jowar,102.0,Kharif,,Medak
17963,1998-1999,Telangana,36,Medak,513.0,Food Crop,Cereals & Millets,Cereals & Millets,Jowar,102.0,Rabi,6.0,Medak
17964,1998-1999,Telangana,36,Medak,513.0,Food Crop,Cereals & Millets,Cereals & Millets,Jowar,102.0,Summer,,Medak
17965,1998-1999,Telangana,36,Medak,513.0,Food Crop,Cereals & Millets,Cereals & Millets,Maize,104.0,,2420.0,Medak
17966,1998-1999,Telangana,36,Medak,513.0,Food Crop,Cereals & Millets,Cereals & Millets,Other Cereals and Millets,188.0,Kharif,,Medak
17967,1998-1999,Telangana,36,Medak,513.0,Food Crop,Cereals & Millets,Cereals & Millets,Other Cereals and Millets,188.0,Rabi,,Medak
17968,1998-1999,Telangana,36,Medak,513.0,Food Crop,Cereals & Millets,Cereals & Millets,Other Cereals and Millets,188.0,Summer,,Medak
17969,1998-1999,Telangana,36,Medak,513.0,Food Crop,Cereals & Millets,Cereals & Millets,Ragi,105.0,,3.0,Medak
17970,1998-1999,Telangana,36,Medak,513.0,Food Crop,Cereals & Millets,Cereals & Millets,Rice,101.0,Autumn,68219.0,Medak
17971,1998-1999,Telangana,36,Medak,513.0,Food Crop,Cereals & Millets,Cereals & Millets,Rice,101.0,Kharif,,Medak
17972,1998-1999,Telangana,36,Medak,513.0,Food Crop,Cereals & Millets,Cereals & Millets,Rice,101.0,Summer,52095.0,Medak
17973,1998-1999,Telangana,36,Medak,513.0,Food Crop,Cereals & Millets,Cereals & Millets,Rice,101.0,Winter,,Medak
17974,1998-1999,Telangana,36,Medak,513.0,Food Crop,Cereals & Millets,Cereals & Millets,Wheat,106.0,,2915.0,Medak
17975,1998-1999,Telangana,36,Medak,513.0,Food Crop,Other Food Crops,Other Food Crops,Other Food Crops,801.0,,6414.0,Medak
17976,1998-1999,Telangana,36,Medak,513.0,Food Crop,Pulses,Pulses,Arhar(Tur),202.0,,,Medak
17977,1998-1999,Telangana,36,Medak,513.0,Food Crop,Pulses,Pulses,Gram,201.0,,46.0,Medak
17978,1998-1999,Telangana,36,Medak,513.0,Food Crop,Pulses,Pulses,Other Pulses,288.0,Kharif,,Medak
17979,1998-1999,Telangana,36,Medak,513.0,Food Crop,Pulses,Pulses,Other Pulses,288.0,Rabi,65.0,Medak
17980,1998-1999,Telangana,36,Medak,513.0,Food Crop,Pulses,Pulses,Other Pulses,288.0,Summer,,Medak
17981,1998-1999,Telangana,36,Medak,513.0,Food Crop,Sugar,Sugar,Sugarcane,401.0,,44855.0,Medak
17982,1998-1999,Telangana,36,Medak,513.0,Non Food Crop,"Drugs, Narcotics and plantation Crop","Drugs, Narcotics and plantation Crop",Coffee,1502.0,,,Medak
17983,1998-1999,Telangana,36,Medak,513.0,Non Food Crop,"Drugs, Narcotics and plantation Crop","Drugs, Narcotics and plantation Crop",Other Plantation Crops,1588.0,,,Medak
17984,1998-1999,Telangana,36,Medak,513.0,Non Food Crop,"Drugs, Narcotics and plantation Crop","Drugs, Narcotics and plantation Crop",Tea,1501.0,,,Medak
17985,1998-1999,Telangana,36,Medak,513.0,Non Food Crop,"Drugs, Narcotics and plantation Crop","Drugs, Narcotics and plantation Crop",Tobacco,1302.0,,,Medak
17986,1998-1999,Telangana,36,Medak,513.0,Non Food Crop,Fiber,Fiber,Cotton,1101.0,,,Medak
17987,1998-1999,Telangana,36,Medak,513.0,Non Food Crop,Fiber,Fiber,Jute,1102.0,,,Medak
17988,1998-1999,Telangana,36,Medak,513.0,Non Food Crop,Fiber,Fiber,Mesta,1103.0,,,Medak
17989,1998-1999,Telangana,36,Medak,513.0,Non Food Crop,Fiber,Fiber,Other Fibres,1188.0,,,Medak
