id,year,state_name,state_code,district_name,district_code,crop_name,crop_code,crop_type,season,area,area_unit,production,production_unit,yield,yield_unit,old_district_name
429796,2021-2022,Telangana,36,Vikarabad,698,Urad,203.0,Pulses,Kharif,3768.0,Hectare,3289.0,Tonnes,0.873,Tonnes/Hectare,Ranga Reddy
429797,2021-2022,Telangana,36,Vikarabad,698,Urad,203.0,Pulses,Rabi,37.0,Hectare,48.0,Tonnes,1.297,Tonnes/Hectare,Ranga Reddy
429798,2021-2022,Telangana,36,Vikarabad,698,Urad,203.0,Pulses,Total,3805.0,Hectare,3337.0,Tonnes,0.877,Tonnes/Hectare,Ranga Reddy
429799,2021-2022,Telangana,36,Vikarabad,698,Wheat,106.0,Cereals,Kharif,1.0,Hectare,2.0,Tonnes,2.0,Tonnes/Hectare,Ranga Reddy
429800,2021-2022,Telangana,36,Vikarabad,698,Wheat,106.0,Cereals,Rabi,115.0,Hectare,231.0,Tonnes,2.009,Tonnes/Hectare,Ranga Reddy
429801,2021-2022,Telangana,36,Vikarabad,698,Wheat,106.0,Cereals,Total,116.0,Hectare,233.0,Tonnes,2.009,Tonnes/Hectare,Ranga Reddy
429802,2021-2022,Telangana,36,Wanaparthy,693,Arhar/Tur,202.0,Pulses,Kharif,5605.0,Hectare,2640.0,Tonnes,0.471,Tonnes/Hectare,Mahabubnagar
429803,2021-2022,Telangana,36,Wanaparthy,693,Arhar/Tur,202.0,Pulses,Rabi,27.0,Hectare,20.0,Tonnes,0.741,Tonnes/Hectare,Mahabubnagar
429804,2021-2022,Telangana,36,Wanaparthy,693,Arhar/Tur,202.0,Pulses,Total,5632.0,Hectare,2660.0,Tonnes,0.472,Tonnes/Hectare,Mahabubnagar
429805,2021-2022,Telangana,36,Wanaparthy,693,Banana,606.0,Fruits,Kharif,5.0,Hectare,171.0,Tonnes,34.2,Tonnes/Hectare,Mahabubnagar
429806,2021-2022,Telangana,36,Wanaparthy,693,Castor Seed,1002.0,Oilseeds,Kharif,434.0,Hectare,253.0,Tonnes,0.583,Tonnes/Hectare,Mahabubnagar
429807,2021-2022,Telangana,36,Wanaparthy,693,Castor Seed,1002.0,Oilseeds,Rabi,70.0,Hectare,108.0,Tonnes,1.543,Tonnes/Hectare,Mahabubnagar
429808,2021-2022,Telangana,36,Wanaparthy,693,Castor Seed,1002.0,Oilseeds,Total,504.0,Hectare,361.0,Tonnes,0.716,Tonnes/Hectare,Mahabubnagar
429809,2021-2022,Telangana,36,Wanaparthy,693,Cotton(Lint),1101.0,Fiber Crops,Kharif,5261.0,Hectare,9903.0,Tonnes,1.882,Tonnes/Hectare,Mahabubnagar
429810,2021-2022,Telangana,36,Wanaparthy,693,Cowpea(Lobia),288.0,Pulses,Kharif,2.0,Hectare,2.0,Tonnes,1.0,Tonnes/Hectare,Mahabubnagar
429811,2021-2022,Telangana,36,Wanaparthy,693,Cowpea(Lobia),288.0,Pulses,Rabi,29.0,Hectare,19.0,Tonnes,0.655,Tonnes/Hectare,Mahabubnagar
429812,2021-2022,Telangana,36,Wanaparthy,693,Cowpea(Lobia),288.0,Pulses,Total,31.0,Hectare,21.0,Tonnes,0.677,Tonnes/Hectare,Mahabubnagar
429813,2021-2022,Telangana,36,Wanaparthy,693,Dry Chillies,502.0,Spices,Kharif,862.0,Hectare,3178.0,Tonnes,3.687,Tonnes/Hectare,Mahabubnagar
429814,2021-2022,Telangana,36,Wanaparthy,693,Dry Chillies,502.0,Spices,Rabi,126.0,Hectare,642.0,Tonnes,5.095,Tonnes/Hectare,Mahabubnagar
429815,2021-2022,Telangana,36,Wanaparthy,693,Dry Chillies,502.0,Spices,Total,988.0,Hectare,3820.0,Tonnes,3.866,Tonnes/Hectare,Mahabubnagar
429816,2021-2022,Telangana,36,Wanaparthy,693,Gram,201.0,Pulses,Rabi,676.0,Hectare,1409.0,Tonnes,2.084,Tonnes/Hectare,Mahabubnagar
429817,2021-2022,Telangana,36,Wanaparthy,693,Groundnut,1001.0,Oilseeds,Kharif,1112.0,Hectare,2916.0,Tonnes,2.622,Tonnes/Hectare,Mahabubnagar
429818,2021-2022,Telangana,36,Wanaparthy,693,Groundnut,1001.0,Oilseeds,Rabi,12756.0,Hectare,31724.0,Tonnes,2.487,Tonnes/Hectare,Mahabubnagar
